date,region,product,category,units,revenue_rub,customer_id
2026-01-05,Москва,Тариф S,Мобильная связь,120,59880,cust_001
2026-01-06,СПб,Тариф M,Мобильная связь,85,72250,cust_002
2026-01-07,Москва,Роутер Wi‑Fi,Оборудование,34,127160,cust_003
2026-01-08,Екатеринбург,Тариф L,Мобильная связь,42,88200,cust_004
2026-01-09,Москва,Тариф S,Мобильная связь,95,47405,cust_005
2026-01-10,СПб,ТВ-приставка,Оборудование,18,107820,cust_006
2026-01-11,Казань,Тариф M,Мобильная связь,67,56965,cust_007
2026-01-12,Москва,Тариф L,Мобильная связь,31,65100,cust_008
2026-01-13,Новосибирск,Тариф S,Мобильная связь,110,54890,cust_009
2026-01-14,СПб,Тариф M,Мобильная связь,76,64600,cust_010
2026-01-15,Москва,Роутер Wi‑Fi,Оборудование,29,108430,cust_011
2026-01-16,Москва,Тариф L,Мобильная связь,38,79800,cust_012
2026-01-17,Екатеринбург,Тариф S,Мобильная связь,88,43780,cust_013
2026-01-18,СПб,Тариф M,Мобильная связь,91,77350,cust_014
2026-01-19,Москва,ТВ-приставка,Оборудование,22,131780,cust_015
2026-01-20,Казань,Тариф L,Мобильная связь,25,52500,cust_016
